Date,LF98TRUU,LUACTRUU,BCOMTR,Russell2000,Russell1000,SPXT
11/28/1997,522.06,928.58,161.008,450.8701,536.0332,1963.449
10/31/1997,517.12,923.37,167.664,453.8044,513.7534,1876.5649
9/30/1997,516.66,911.81,167.002,474.6516,530.9709,1941.488
8/29/1997,506.62,896.13,165.153,442.2761,503.3594,1840.6833
7/31/1997,507.77,909.56,165.319,432.3878,528.2852,1949.9826
6/30/1997,494.2,877.45,160.121,413.1677,488.3161,1806.4037
5/30/1997,487.44,865.2,169.885,396.1966,468.8794,1728.9417
4/30/1997,477.23,855.51,167.415,356.5432,440.6472,1629.7248
3/31/1997,472.25,842.74,166.108,355.5441,418.0286,1538.0181
2/28/1997,479.39,856.07,162.713,373.1626,437.737,1603.9154
1/31/1997,471.59,852.5,161.025,382.435,436.0584,1591.4419
12/31/1996,467.03,851.3,160.001,374.941,411.6621,1497.9504
11/29/1996,463.71,863.22,157.848,365.3812,418.4303,1528.2621
10/31/1996,454.74,845.16,149.508,350.9225,389.6722,1420.8714
9/30/1996,451.27,822.7,151.621,356.4194,381.2453,1382.8138
8/30/1996,440.65,805.62,150.853,343.017,360.9437,1309.1255
7/31/1996,435.94,808.11,143.871,324.2066,351.3784,1282.0771
6/28/1996,433.92,806.55,145.942,355.2345,369.2076,1341.4336
5/31/1996,430.36,794.89,146.185,370.4326,368.8081,1336.358
4/30/1996,427.79,796.28,146.847,356.3925,360.1607,1302.8502
3/29/1996,426.85,802.94,139.991,338.3105,354.7638,1284.0195
2/29/1996,427.14,809.84,133.634,331.5539,351.608,1271.7797
1/31/1996,426.8,829.55,130.842,321.5321,347.0774,1260.1113
12/29/1995,419.42,824.23,129.908,321.8697,336.2293,1218.7573
11/30/1995,412.93,810.87,123.379,313.599,331.1826,1195.774
10/31/1995,409.32,795.64,121.481,300.9521,317.0399,1145.516
9/29/1995,406.81,785.42,120.453,315.0452,318.5,1149.6693
8/31/1995,401.87,776.22,119.317,309.5238,305.9069,1103.1126
7/31/1995,400.62,763.91,117.314,303.2583,303.6221,1100.379
6/30/1995,395.62,767.3,115.079,286.7404,292.4547,1065.092
5/31/1995,393.12,760.45,116.228,272.6091,284.9149,1040.919
4/28/1995,382.4,726.22,117.028,268.0161,274.3934,1000.935
3/31/1995,372.91,714.17,114.736,262.1935,267.2963,972.335
2/28/1995,368.94,708.39,111.963,257.7617,260.6015,944.4708
1/31/1995,356.71,688.54,112.109,247.4884,250.3899,909.0441
12/30/1994,351.94,674.24,112.755,250.872,244.3193,886.0971
11/30/1994,349.37,668.71,109.66,244.7358,241.4842,873.1899
10/31/1994,353.83,669.81,109.902,255.4067,251.29,906.192
9/30/1994,352.99,671.35,109.025,256.6903,247.0347,886.2942
8/31/1994,352.97,684.1,108.861,257.9175,253.4801,908.533
7/29/1994,350.49,683.33,111.826,244.6714,243.9967,872.751
6/30/1994,347.54,666.5,110.326,240.9615,236.6254,845.0458
5/31/1994,346.47,668.14,107.287,249.7614,243.7054,866.2631
4/29/1994,346.29,670.61,101.825,252.9482,241.2865,852.2885
3/31/1994,348.68,677.13,99.717,251.6405,238.7531,841.4988
2/28/1994,362.37,698.57,99.498,266.0092,249.9843,879.8441
1/31/1994,363.32,715.46,100.274,267.2607,257.4804,904.3926
12/31/1993,355.6,701.84,96.694,259.3379,250.2288,874.6516
11/30/1993,351.23,697.74,95.306,251.0852,246.2648,864.2235
10/29/1993,349.55,706.41,96.335,259.9455,250.4889,872.5427
9/30/1993,342.61,702.87,97.54,253.6161,247.5758,854.8591
8/31/1993,341.73,701.2,99.871,246.9367,248.7774,861.4993
7/30/1993,338.87,684.19,101.609,237.0182,240.3241,830.0214
6/30/1993,335.63,679.27,99.888,233.9884,241.4373,833.37
5/31/1993,328.73,663.17,100.211,232.13,240.3917,830.9513
4/30/1993,324.87,662.39,102.037,223.2731,234.7215,809.3225
3/31/1993,322.06,657.33,101.103,229.7956,241.4113,829.371
2/26/1993,317.97,655.04,98.758,222.8989,236.2353,812.2237
1/29/1993,312.46,640.34,97.553,228.4557,234.8255,801.3082
12/31/1992,303.63,625.76,97.736,221.1567,233.343,794.6643
11/30/1992,300.2,614.42,97.787,214.0105,230.0605,785.0428
10/30/1992,296.47,613.44,98.619,199.0824,222.3146,759.1975
9/30/1992,300.71,624.55,101.616,193.1595,220.8164,756.5865
8/31/1992,297.68,617.06,100.134,189.1076,218.5535,747.7969
7/31/1992,293.83,612.31,101.213,194.9058,224.0469,763.4264
6/30/1992,289.46,596.39,101.567,188.5604,215.6144,733.4634
5/29/1992,286.76,587.2,101.154,198.2254,219.6928,744.5391
4/30/1992,282.77,574.37,97.817,195.9319,219.0477,740.8523
3/31/1992,281.7,571.52,97.017,203.2591,214.2202,719.7254
2/28/1992,278.25,573.98,96.133,210.6909,219.4223,734.0048
1/31/1992,271.55,568.53,96.122,205.0134,217.4975,724.629
12/31/1991,262.31,575.72,94.245,189.7997,220.5303,738.3867
11/29/1991,258.59,557.5,98.357,176.0586,198.4268,662.6382
10/31/1991,257.25,552.09,100.909,184.8988,206.9634,690.4919
9/30/1991,248.94,546.91,100.004,180.3278,204.0242,681.3392
8/30/1991,245.52,535.86,98.714,179.1931,207.0674,692.9351
7/31/1991,240,524,98.556,173.1213,202.5677,676.9761
6/28/1991,232.56,516.57,94.502,167.5122,193.6409,646.8638
5/31/1991,225.88,516.65,96.895,178.1469,203.2179,677.9288
4/30/1991,225.47,513.12,97.963,170.3328,195.935,649.8943
3/29/1991,216.59,506.55,97.52,171.01,196.1067,648.4198
2/28/1991,204.54,500.38,96.842,159.9596,191.3364,633.0737
1/31/1991,184.37,491.96,94.888,144.1826,179.0336,590.8696
12/31/1990,179.44,485.81,102.6597,132.4011,171.1577,566.2611
11/30/1990,178.44,479.06,102.8867,127.806,166.6267,550.9425
10/31/1990,173.04,469.41,108.1176,119.0463,156.67,517.5262
9/28/1990,182.63,467.31,114.073,126.9932,157.8769,519.7926
8/31/1990,197.01,465.18,100.236,139.5995,166.7932,546.4166
7/31/1990,208.9,472.71,91.4332,161.5048,184.4333,600.7619
6/29/1990,203.42,467.42,87.8524,169.166,186.5089,602.7531
5/31/1990,198.62,459.57,88.0649,169.0613,187.9707,606.8632
4/30/1990,194.86,445.17,89.2919,158.157,172.5987,552.9966
3/30/1990,195.19,449.86,88.8599,163.6897,177.5614,567.2253
2/28/1990,190.2,449.45,88.0007,157.7989,173.6755,552.6077
1/31/1990,194.21,448.15,86.207,153.3326,171.6987,545.6092
12/29/1989,198.47,453.8,86.1855,168.2284,185.2448,584.8782
11/30/1989,198.16,453.32,83.1547,167.9186,182.0768,571.1619
10/31/1989,198.55,450.21,81.2987,167.0897,179.3509,559.7464
9/29/1989,203.37,440.08,81.513,177.821,184.6414,573.0525
8/31/1989,206.85,438.06,78.9892,177.5152,185.5258,575.3872
7/31/1989,206.15,442.86,76.8018,173.6323,182.4669,564.3545
6/30/1989,206.42,434.43,79.3111,167.3714,168.6971,517.6182
5/31/1989,203.89,421.93,77.066,171.5158,169.9716,520.5708
4/28/1989,200.01,410.73,78.8127,164.7117,163.7292,500.3283
